Lambda,Hits@1,Hits@3,Hits@5,Hits@10
0.0,0.062,0.112,0.15,0.234
0.02040816326530612,0.062,0.114,0.15,0.234
0.04081632653061224,0.062,0.114,0.15,0.234
0.061224489795918366,0.062,0.114,0.15,0.234
0.08163265306122448,0.062,0.114,0.152,0.234
0.1020408163265306,0.062,0.114,0.152,0.234
0.12244897959183673,0.062,0.114,0.152,0.234
0.14285714285714285,0.062,0.114,0.152,0.234
0.16326530612244897,0.062,0.114,0.152,0.234
0.18367346938775508,0.062,0.114,0.152,0.234
0.2040816326530612,0.062,0.114,0.152,0.234
0.22448979591836732,0.062,0.114,0.152,0.234
0.24489795918367346,0.062,0.114,0.152,0.234
0.26530612244897955,0.062,0.114,0.152,0.234
0.2857142857142857,0.062,0.114,0.152,0.234
0.3061224489795918,0.062,0.114,0.152,0.234
0.32653061224489793,0.062,0.114,0.152,0.234
0.3469387755102041,0.064,0.114,0.152,0.234
0.36734693877551017,0.064,0.114,0.152,0.234
0.3877551020408163,0.064,0.114,0.152,0.234
0.4081632653061224,0.064,0.114,0.152,0.234
0.42857142857142855,0.064,0.114,0.154,0.234
0.44897959183673464,0.064,0.114,0.156,0.234
0.4693877551020408,0.064,0.114,0.156,0.234
0.4897959183673469,0.064,0.114,0.156,0.236
0.5102040816326531,0.064,0.114,0.156,0.232
0.5306122448979591,0.064,0.114,0.156,0.23
0.5510204081632653,0.064,0.114,0.154,0.23
0.5714285714285714,0.064,0.114,0.154,0.23
0.5918367346938775,0.064,0.116,0.154,0.228
0.6122448979591836,0.064,0.116,0.154,0.228
0.6326530612244897,0.064,0.116,0.154,0.228
0.6530612244897959,0.064,0.116,0.154,0.228
0.673469387755102,0.064,0.116,0.154,0.226
0.6938775510204082,0.064,0.116,0.154,0.226
0.7142857142857142,0.064,0.118,0.154,0.228
0.7346938775510203,0.064,0.12,0.156,0.23
0.7551020408163265,0.066,0.12,0.156,0.23
0.7755102040816326,0.066,0.12,0.156,0.228
0.7959183673469387,0.066,0.12,0.156,0.23
0.8163265306122448,0.066,0.12,0.156,0.228
0.836734693877551,0.066,0.12,0.158,0.226
0.8571428571428571,0.066,0.122,0.16,0.226
0.8775510204081632,0.066,0.122,0.16,0.226
0.8979591836734693,0.066,0.122,0.16,0.226
0.9183673469387754,0.066,0.122,0.16,0.232
0.9387755102040816,0.066,0.122,0.16,0.232
0.9591836734693877,0.064,0.12,0.162,0.226
0.9795918367346939,0.062,0.12,0.164,0.226
1.0,0.06,0.116,0.162,0.224
